target,method,Z2,A2,I2_eV,density,I2_source,I2_imputed_elems,validated_by_physics,n_records,n_e_1e23
Ethylene oxide,name_map,3.4285714285714284,6.293285714285714,65.94350718296434,,additivity,0.0,False,18,
Ethylene sulfide,name_map,4.571428571428571,8.587714285714284,99.44532745479624,,additivity,0.0,False,18,
Ethynylbenzene,name_map,3.8571428571428568,7.295428571428571,66.7499422763103,,additivity,0.0,False,18,
Eurofer97,weight_frac,25.859291631108782,55.68037458008159,285.4215710987228,7.8,additivity,0.0,False,28,21.815239275611052
Fe,element,26.0,55.845,286.0,,additivity,0.0,False,346,
Fluoroform,name_map,6.800000000000001,14.0026,101.87783837263473,,additivity,0.0,False,75,
Formvar,name_map,3.7777777777777777,7.04425925925926,69.52079484576488,,additivity,0.0,False,606,
Ga,element,31.0,69.723,334.0,,additivity,0.0,False,34,
GaAs,formula,32.0,72.32249999999999,340.64112649426147,,additivity,0.0,False,161,
GaN,formula,19.0,41.865,257.86384782774286,,additivity,0.0,False,55,
GaP,formula,23.0,50.3485,269.5152256784252,,additivity,0.0,False,7,
GaSb,formula,41.0,95.7415,422.290380838708,,additivity,0.0,False,42,
Gd,element,64.0,157.25,591.0,,additivity,0.0,False,212,
GdF3,formula,22.75,53.561,363.6337468832023,,additivity,0.0,False,11,
Ge,element,32.0,72.63,350.0,,additivity,0.0,False,523,
Glycerol,name_map,3.571428571428571,6.578142857142858,68.51561874968287,,additivity,0.0,False,4,
Graphite,element_alias,6.0,12.011,78.0,2.23,additivity,0.0,False,115,6.708537454733163
Graphite Oxide,UNRESOLVED,,,,,,,False,37,
H2,formula,1.0,1.008,19.200000000000003,,additivity,0.0,False,707,
H2O,formula,3.333333333333333,6.005,68.99841746795269,,additivity,0.0,False,342,
H2S,formula,6.0,11.358666666666668,140.37045143437828,,additivity,0.0,False,30,
Havar,weight_frac,26.647521700935567,57.843717573328256,295.57275397478014,8.3,additivity,0.0,False,311,23.026589689597074
He,element,2.0,4.003,41.8,,additivity,0.0,False,1053,
Heptane,name_map,2.5217391304347823,4.356739130434782,52.98483704136442,,additivity,0.0,False,83,
Heptanol,name_map,2.75,4.841833333333333,56.870572900298505,,additivity,0.0,False,4,
Heptene,name_map,2.6666666666666665,4.675666666666666,54.9409619588425,,additivity,0.0,False,4,
